niv_active_side,quarter,technology,technology_sp_weight,side_quarter_sp_weight,share,share_pct
bid,2024Q3,OTHER,153.78506493506492,2193.0,0.07012542860696075,7.012542860696075
bid,2024Q3,PS,132.25,2193.0,0.060305517555859556,6.030551755585956
bid,2024Q3,DSR,115.19877344877345,2193.0,0.05253022045087709,5.253022045087709
bid,2024Q3,NPSHYD,43.0,2193.0,0.0196078431372549,1.9607843137254901
bid,2024Q3,IFA,29.0,2193.0,0.013223894208846329,1.322389420884633
bid,2024Q3,Viking,22.0,2193.0,0.010031919744642043,1.0031919744642042
bid,2024Q3,OCGT,16.05952380952381,2193.0,0.0073230842724686775,0.7323084272468677
bid,2024Q3,COAL,14.542857142857143,2193.0,0.006631489805224415,0.6631489805224415
bid,2024Q3,BritNed,6.0,2193.0,0.0027359781121751026,0.27359781121751026
bid,2024Q3,IFA2,5.0,2193.0,0.002279981760145919,0.22799817601459188
bid,2024Q3,DIESEL,3.6666666666666665,2193.0,0.001671986624107007,0.1671986624107007
bid,2024Q3,NEMO,2.0,2193.0,0.0009119927040583675,0.09119927040583675
bid,2024Q3,GAS,1.0,2193.0,0.00045599635202918376,0.045599635202918376
bid,2024Q4,CCGT,866.4325396825396,2268.0,0.3820249293132891,38.202492931328905
bid,2024Q4,BATTERY,502.23382173382174,2268.0,0.22144348400962158,22.14434840096216
bid,2024Q4,OTHER,264.23296703296705,2268.0,0.11650483555245461,11.650483555245462
bid,2024Q4,DSR,150.72851037851038,2268.0,0.0664587788265037,6.645877882650369
bid,2024Q4,WIND,142.0,2268.0,0.06261022927689594,6.261022927689594
bid,2024Q4,PS,126.82692307692308,2268.0,0.05592016008682676,5.592016008682676
bid,2024Q4,BIOMASS,117.87857142857143,2268.0,0.05197467876039305,5.197467876039305
bid,2024Q4,NPSHYD,43.0,2268.0,0.01895943562610229,1.8959435626102292
bid,2024Q4,OCGT,34.666666666666664,2268.0,0.015285126396237506,1.5285126396237505
bid,2024Q4,IFA,7.0,2268.0,0.0030864197530864196,0.30864197530864196
bid,2024Q4,DIESEL,3.5,2268.0,0.0015432098765432098,0.15432098765432098
bid,2024Q4,BritNed,3.0,2268.0,0.0013227513227513227,0.13227513227513227
bid,2024Q4,NEMO,3.0,2268.0,0.0013227513227513227,0.13227513227513227
bid,2024Q4,Viking,2.0,2268.0,0.0008818342151675485,0.08818342151675485
bid,2024Q4,GAS,1.5,2268.0,0.0006613756613756613,0.06613756613756613
bid,2025Q1,CCGT,974.95,2299.0,0.4240756850804698,42.40756850804698
bid,2025Q1,BATTERY,587.1654761904762,2299.0,0.25540038111808444,25.540038111808443
bid,2025Q1,OTHER,231.3059523809524,2299.0,0.10061154953499452,10.061154953499452
bid,2025Q1,WIND,121.0,2299.0,0.05263157894736842,5.263157894736842
bid,2025Q1,PS,109.0,2299.0,0.047411918225315354,4.741191822531535
bid,2025Q1,DSR,94.98571428571428,2299.0,0.04131610016777481,4.131610016777481
bid,2025Q1,BIOMASS,82.83333333333333,2299.0,0.036030158039727415,3.6030158039727413
bid,2025Q1,OCGT,42.87619047619047,2299.0,0.0186499306116531,1.8649930611653098
bid,2025Q1,NPSHYD,23.05,2299.0,0.010026098303610266,1.0026098303610267
bid,2025Q1,IFA,9.5,2299.0,0.004132231404958678,0.4132231404958678
bid,2025Q1,NEMO,6.0,2299.0,0.0026098303610265334,0.26098303610265333
bid,2025Q1,GAS,5.833333333333333,2299.0,0.0025373350732202406,0.25373350732202404
bid,2025Q1,Viking,4.0,2299.0,0.0017398869073510222,0.17398869073510223
bid,2025Q1,IFA2,3.0,2299.0,0.0013049151805132667,0.13049151805132667
bid,2025Q1,DIESEL,2.5,2299.0,0.001087429317094389,0.1087429317094389
bid,2025Q1,BritNed,1.0,2299.0,0.00043497172683775554,0.04349717268377556
bid,2025Q2,CCGT,713.9416666666667,2210.0,0.3230505279034691,32.30505279034691
bid,2025Q2,BATTERY,564.7416666666667,2210.0,0.2555392156862745,25.55392156862745
bid,2025Q2,WIND,408.4,2210.0,0.18479638009049773,18.479638009049772
bid,2025Q2,OTHER,177.06666666666666,2210.0,0.08012066365007542,8.012066365007541
bid,2025Q2,BIOMASS,102.75,2210.0,0.04649321266968326,4.649321266968326
bid,2025Q2,DSR,73.5,2210.0,0.0332579185520362,3.32579185520362
bid,2025Q2,PS,31.6,2210.0,0.014298642533936652,1.4298642533936652
bid,2025Q2,Viking,31.0,2210.0,0.014027149321266969,1.402714932126697
bid,2025Q2,NEMO,25.0,2210.0,0.011312217194570135,1.1312217194570136
bid,2025Q2,IFA,20.0,2210.0,0.00904977375565611,0.904977375565611
bid,2025Q2,BritNed,17.0,2210.0,0.007692307692307693,0.7692307692307693
bid,2025Q2,NPSHYD,13.0,2210.0,0.0058823529411764705,0.5882352941176471
bid,2025Q2,OCGT,13.0,2210.0,0.0058823529411764705,0.5882352941176471
bid,2025Q2,Eleclink,6.0,2210.0,0.0027149321266968325,0.27149321266968324
bid,2025Q2,IFA2,6.0,2210.0,0.0027149321266968325,0.27149321266968324
bid,2025Q2,SOLAR,6.0,2210.0,0.0027149321266968325,0.27149321266968324
bid,2025Q2,DIESEL,1.0,2210.0,0.00045248868778280545,0.04524886877828054
bid,2025Q3,BATTERY,833.5190476190476,2434.0,0.34244825292483466,34.24482529248347
bid,2025Q3,CCGT,766.5,2434.0,0.31491372226787184,31.491372226787185
bid,2025Q3,OTHER,246.03095238095239,2434.0,0.10108091716555151,10.108091716555151
bid,2025Q3,WIND,196.0,2434.0,0.08052588331963846,8.052588331963847
bid,2025Q3,BIOMASS,154.0,2434.0,0.06327033689400165,6.327033689400165
bid,2025Q3,DSR,63.28333333333333,2434.0,0.025999726102437688,2.5999726102437686
bid,2025Q3,PS,61.333333333333336,2434.0,0.02519857573267598,2.519857573267598
bid,2025Q3,NPSHYD,19.5,2434.0,0.00801150369761709,0.8011503697617091
bid,2025Q3,IFA2,18.0,2434.0,0.007395234182415777,0.7395234182415776
bid,2025Q3,Viking,18.0,2434.0,0.007395234182415777,0.7395234182415776
