side,marginal_bmu_id,technology_key,n_marginal_sps,tie_adjusted_weight,p05_system_price,p25_system_price,median_system_price,p75_system_price,p95_system_price,marginal_side_share_pct,technology_side_median_system_price,p05_system_price_deviation,p25_system_price_deviation,median_system_price_deviation,p75_system_price_deviation,p95_system_price_deviation,registered_capacity_mw,plant_family,lead_party,displayed_in_figure
BID,2__GSTAT008,BATTERY,1,0.125,76.0,76.0,76.0,76.0,76.0,0.00046318597843406084,59.0,17.0,17.0,17.0,17.0,17.0,22.0,2__GSTAT_B,Statkraft Markets Gmbh,False
BID,2__NSTAT002,BATTERY,1,0.125,76.0,76.0,76.0,76.0,76.0,0.00046318597843406084,59.0,17.0,17.0,17.0,17.0,17.0,20.0,2__NSTAT_B,Statkraft Markets Gmbh,False
BID,E_ABERDARE,OCGT,1,0.125,52.15,52.15,52.15,52.15,52.15,0.00046318597843406084,64.75,-12.600000000000001,-12.600000000000001,-12.600000000000001,-12.600000000000001,-12.600000000000001,15.4,E_ABERDARE,UK Power Reserve Limited,False
BID,E_SEVINGTN,GAS,1,0.125,52.15,52.15,52.15,52.15,52.15,0.00046318597843406084,74.41977135863905,-22.269771358639055,-22.269771358639055,-22.269771358639055,-22.269771358639055,-22.269771358639055,10.3,E_SEVINGTN,UK Power Reserve Limited,False
BID,2__DSTAT005,BATTERY,1,0.0625,30.03,30.03,30.03,30.03,30.03,0.00023159298921703042,59.0,-28.97,-28.97,-28.97,-28.97,-28.97,16.0,2__DSTAT,Statkraft Markets Gmbh,False
BID,2__KSTAT003,BATTERY,1,0.0625,30.03,30.03,30.03,30.03,30.03,0.00023159298921703042,59.0,-28.97,-28.97,-28.97,-28.97,-28.97,16.0,2__KSTAT,Statkraft Markets Gmbh,False
OFFER,T_SEAB-1,CCGT,835,793.5364468864469,81.47,98.0,111.0,128.8,190.0,3.348678933563096,113.9,-32.43000000000001,-15.900000000000006,-2.9000000000000057,14.900000000000006,76.1,830.0,T_SEAB,Seabank Power Limited,True
OFFER,T_COSO-1,CCGT,696,652.9833333333333,85.0,99.99,115.0,134.8025,190.4450975,2.7555527422599204,113.9,-28.900000000000006,-13.91000000000001,1.0999999999999943,20.902500000000003,76.5450975,856.186,T_COSO,Coryton Energy Company Ltd,True
OFFER,T_DAMC-1,CCGT,701,650.15,86.5,103.85,118.68,136.0,189.3701,2.74359623581044,113.9,-27.400000000000006,-10.050000000000011,4.780000000000001,22.099999999999994,75.4701,820.0,T_DAMC,VPI Power Limited,True
OFFER,T_HUMR-1,CCGT,618,589.5,76.97499999999998,98.0,115.74999,139.0,195.135,2.4876566654006838,113.9,-36.925000000000026,-15.900000000000006,1.8499899999999911,25.099999999999994,81.23499999999999,1283.0,T_HUMR_CC,VPI Immingham LLP,True
OFFER,T_CRUA-1,PS,580,549.6825757575757,88.34223893477994,106.375,120.12644499999999,142.10500000000002,199.03749999999997,2.319629386663188,119.0,-30.657761065220058,-12.625,1.1264449999999897,23.105000000000018,80.03749999999997,123.0,T_CRUA,Drax Pumped Storage Limited,True
OFFER,T_SHBA-1,CCGT,488,454.1166666666667,83.07000000000001,99.5,114.0,129.9,193.0,1.9163466542881658,113.9,-30.83,-14.400000000000006,0.09999999999999432,16.0,79.1,821.4,T_SHBA,EP UK INVESTMENTS LIMITED,True
OFFER,T_MRWD-1,CCGT,448,417.0833333333333,72.36999999999999,93.4225,102.0,111.9,178.29999999999995,1.760068081754371,113.9,-41.530000000000015,-20.477500000000006,-11.900000000000006,-2.0,64.39999999999995,920.0,T_MRWD,Marchwood Power Limited,True
OFFER,T_ROCK-1,CCGT,404,384.3333333333333,85.0,97.9,114.0,127.9,193.22989799999988,1.6218649336765552,113.9,-28.900000000000006,-16.0,0.09999999999999432,14.0,79.32989799999987,810.0,T_ROCK,Rocksavage Power Company Ltd,True
OFFER,T_RYHPS-1,CCGT,394,369.53333333333336,89.0,120.0,145.37,183.79500000000002,263.1499999999997,1.559409770575741,113.9,-24.900000000000006,6.099999999999994,31.47,69.89500000000001,149.2499999999997,720.98,T_RYHPS,VPI Power Limited,True
OFFER,T_CARR-1,CCGT,395,366.64444444444445,80.796,99.0,111.0,125.0,165.0,1.5472188228233297,113.9,-33.104,-14.900000000000006,-2.9000000000000057,11.099999999999994,51.099999999999994,470.0,T_CARR,Carrington Power Ltd,True
OFFER,T_SHBA-2,CCGT,327,316.6666666666667,88.0,98.22980999999999,112.0,129.91,196.0,1.3363154267066155,113.9,-25.900000000000006,-15.67019000000002,-1.9000000000000057,16.00999999999999,82.1,580.0,T_SHBA,EP UK INVESTMENTS LIMITED,True
OFFER,E_DOLLB-1,BATTERY,175,162.76709956709956,66.026,94.75,110.86,123.975,144.92399999999995,0.6868679561425478,107.235,-41.209,-12.485,3.625,16.739999999999995,37.68899999999995,102.0,E_DOLLB,Dollymans Storage Limited,True
OFFER,T_DRAXX-2,BIOMASS,134,126.41666666666667,70.0,90.2784384646534,100.95,119.375,156.92975711524105,0.5334711848194568,103.0,-33.0,-12.721561535346595,-2.049999999999997,16.375,53.929757115241046,669.4,T_DRAXX,Drax Power Ltd,True
OFFER,T_GLNDO-1,NPSHYD,174,123.10119047619048,80.0,100.375,115.0,138.99992800230393,179.35,0.5194800627766826,117.0,-37.0,-16.625,-2.0,21.999928002303932,62.349999999999994,100.0,T_GLNDO,SSE Generation Ltd,True
OFFER,T_DINO-1,PS,571,543.3705128205128,76.92509090909091,93.4,104.99170439687975,120.0,139.0,2.2929928379985345,119.0,-42.07490909090909,-25.599999999999994,-14.008295603120246,1.0,20.0,320.0,T_DINO,First Hydro Company,False
OFFER,T_DINO-2,PS,544,531.6595238095238,81.915,109.3575,150.0,184.0,219.60650000000004,2.243573126596294,119.0,-37.084999999999994,-9.642499999999998,31.0,65.0,100.60650000000004,320.0,T_DINO,First Hydro Company,False
OFFER,T_DINO-3,PS,436,415.6595238095238,81.0,98.90840148470464,117.0,141.0,190.0,1.754059686076397,119.0,-38.0,-20.09159851529536,-2.0,22.0,71.0,320.0,T_DINO,First Hydro Company,False
OFFER,T_DINO-4,PS,401,387.8095238095238,82.0,100.0,118.0,136.83,165.0,1.6365342609170943,119.0,-37.0,-19.0,-1.0,17.830000000000013,46.0,320.0,T_DINO,First Hydro Company,False
OFFER,T_FFES-1,PS,328,316.75,81.4175,99.097335,114.975,129.8,175.4354999999999,1.336667088661012,119.0,-37.582499999999996,-19.902665,-4.025000000000006,10.800000000000011,56.435499999999905,91.033,T_FFES,First Hydro Company,False
OFFER,T_CARR-2,CCGT,342,313.95,80.0,94.0,110.0,129.0,180.0,1.3248512469932903,113.9,-33.900000000000006,-19.900000000000006,-3.9000000000000057,15.099999999999994,66.1,470.0,T_CARR,Carrington Power Ltd,False
OFFER,T_SPLN-1,CCGT,318,294.7492424242424,79.9625,94.0,115.0,128.0,185.06499999999997,1.2438251357734837,113.9,-33.9375,-19.900000000000006,1.0999999999999943,14.099999999999994,71.16499999999996,950.0,T_SPLN,Spalding Energy Company Ltd,False
OFFER,T_WBURB-3,CCGT,322,294.71666666666664,78.9525,94.32249999999999,107.5,130.0,186.89999999999998,1.243687667918583,113.9,-34.947500000000005,-19.577500000000015,-6.400000000000006,16.099999999999994,72.99999999999997,470.0,T_WBURB_CC,West Burton B Limited,False
OFFER,T_WBURB-1,CCGT,294,267.78333333333336,78.48942214066362,97.92500000000001,109.27502000000001,127.975,178.34999999999997,1.1300305242576416,113.9,-35.410577859336385,-15.974999999999994,-4.624979999999994,14.074999999999989,64.44999999999996,470.0,T_WBURB_CC,West Burton B Limited,False
OFFER,T_DINO-6,PS,271,266.3333333333333,82.475,99.0,124.56,146.7,201.5,1.123911606251143,119.0,-36.525000000000006,-20.0,5.560000000000002,27.69999999999999,82.5,320.0,T_DINO,First Hydro Company,False
OFFER,T_SEAB-2,CCGT,281,265.25,88.87,108.0,120.0,155.0,190.0,1.1193400008439887,113.9,-25.03,-5.900000000000006,6.099999999999994,41.099999999999994,76.1,406.0,T_SEAB,Seabank Power Limited,False
