tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
224,2__GSTAT004,BATTERY,2__GSTAT_B,Statkraft Markets Gmbh,20.354,82,1.2361111111111112,35.84968262731421,37.08579373842532,0.07317061348438426,0.002438858636080639,0.07073175484830363,Offer,0.9666688781200238
225,T_DRSLW-1,WIND,T_DRSLW,SP Renewables (UK) Limited,70.9,47,36.61666666666667,0.0,36.61666666666667,0.07224502144003367,0.07224502144003367,0.0,Bid,1.0
226,E_RAKE-1,DIESEL,E_RAKE,Conrad Energy (Trading) Ltd,20.0,77,0.0,36.37533577533578,36.37533577533578,0.07176887336306484,0.0,0.07176887336306484,Offer,1.0
227,2__BUKPR001,OCGT,2__BUKPR,UK Power Reserve Limited,10.359,51,22.183333333333334,14.166666666666666,36.35,0.07171888564438482,0.04376792150053929,0.027950964143845524,Bid,0.6102705181109582
228,T_RATS-1,COAL,T_RATS,Uniper UK Limited,0.0,50,16.507575757575758,19.666666666666668,36.17424242424242,0.07137211432452534,0.03256959939542214,0.0388025149291032,Offer,0.5436649214659687
229,E_CRSSB-1,BATTERY,E_CRSSB,Arenko Cleantech Limited,20.0,36,21.0,15.0,36.0,0.0710283324125957,0.04143319390734749,0.029595138505248204,Bid,0.5833333333333334
230,T_FALGW-1,WIND,T_FALGW,Fallago Rig Wind Farm Limited,144.0,36,36.0,0.0,36.0,0.0710283324125957,0.0710283324125957,0.0,Bid,1.0
231,E_BROFB-1,BATTERY,E_BROFB,EDF Energy Customers Limited,52.0,54,26.174242424242426,8.566666666666666,34.74090909090909,0.06854413442291274,0.05164202198769321,0.01690211243521953,Bid,0.7534127087967203
232,2__MFLEX002,DSR,2__MFLEX,Flexitricity Limited,49.0,56,19.558333333333334,15.175,34.733333333333334,0.06852918738326362,0.03858877226212085,0.029940415121142767,Bid,0.5630998080614203
233,I_IFD-EDFT1,IFA,I_IFD-EDFT,EDF TRADING LIMITED,,36,34.5,0.0,34.5,0.06806881856207087,0.06806881856207087,0.0,Bid,1.0
