predictor,source_column,feature,fuel_type,side,mean_abs_shap,conditional_mean_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank
BMU ID,marginal_bmu_id,T_PEMB-41_BID,CCGT,BID,0.005174536556721421,-0.5109335398762843,0.0,1.0,17,0.00020376722827892058,0.12628903778075173,80.29192900544797,115,57
BMU ID,marginal_bmu_id,T_CRUA-4_BID,PS,BID,0.005144350835521467,-1.4962403514787466,0.0,1.0,7,0.00039834222992812704,0.12628903778075173,80.29192900544797,116,58
BMU ID,marginal_bmu_id,T_KEMB-1_OFFER,LOAD RESPONSE,OFFER,0.005039214102624242,1.304740355144106,1.0,0.0,6,0.0004238922361353269,0.12628903778075173,80.29192900544797,117,59
BMU ID,marginal_bmu_id,T_SLOY-3_OFFER,NPSHYD,OFFER,0.004775427681582592,1.962196198588262,1.0,0.0,4,0.0004831956163409264,0.12628903778075173,80.29192900544797,118,60
BMU ID,marginal_bmu_id,E_BURWB-1_OFFER,OTHER,OFFER,0.004728670308137042,1.456159241501369,1.0,0.0,8,0.00031921545651135105,0.12628903778075173,80.29192900544797,119,61
BMU ID,marginal_bmu_id,E_BTUIW-3_BID,WIND,BID,0.004551717613288718,-2.3807653121117958,0.0,1.0,5,0.00038389852871845343,0.12628903778075173,80.29192900544797,120,59
BMU ID,marginal_bmu_id,T_EWHLW-1_BID,WIND,BID,0.00426627440401407,-4.470194529526538,0.0,1.0,2,0.0007179785525764862,0.12628903778075173,80.29192900544797,121,60
BMU ID,marginal_bmu_id,T_EECL-1_BID,CCGT,BID,0.004159153606894517,-0.2629261444013343,0.0,1.0,33,0.00014291808053376487,0.12628903778075173,80.29192900544797,122,61
BMU ID,marginal_bmu_id,E_SHOS-1_BID,CCGT,BID,0.004027192897151898,-0.23697515983879452,0.0,1.0,28,0.00015009243043963527,0.12628903778075173,80.29192900544797,123,62
BMU ID,marginal_bmu_id,2__NFLEX006_OFFER,LOAD RESPONSE,OFFER,0.004008242293031202,1.6904732244126675,1.0,0.0,5,0.00034139620233953645,0.12628903778075173,80.29192900544797,124,62
BMU ID,marginal_bmu_id,T_KPMRW-1_BID,WIND,BID,0.003644193179474465,-4.559432568082155,0.0,1.0,1,0.0007167506008720396,0.12628903778075173,80.29192900544797,125,63
BMU ID,marginal_bmu_id,2__GSTAT004_OFFER,BATTERY,OFFER,0.003622149597697565,1.1976661451352404,1.0,0.0,7,0.0002688414391544046,0.12628903778075173,80.29192900544797,126,63
BMU ID,marginal_bmu_id,2__JSTAT002_BID,BATTERY,BID,0.0034105375745273874,-0.7930950005182084,0.0,1.0,11,0.00018747707673073905,0.12628903778075173,80.29192900544797,127,64
BMU ID,marginal_bmu_id,2__FSTAT003_OFFER,BATTERY,OFFER,0.0033564943774456605,1.0466443336328797,1.0,0.0,8,0.00023698932040476848,0.12628903778075173,80.29192900544797,128,64
BMU ID,marginal_bmu_id,I_IVD-NEAS1_BID,Viking,BID,0.0032739234909226573,-2.59149914173522,0.0,1.0,3,0.000378961135920779,0.12628903778075173,80.29192900544797,129,65
BMU ID,marginal_bmu_id,2__HSTAT002_BID,BATTERY,BID,0.003093570752228069,-0.9443066588708408,0.0,1.0,6,0.0002651422799893418,0.12628903778075173,80.29192900544797,130,66
BMU ID,marginal_bmu_id,T_DRAXX-3_OFFER,BIOMASS,OFFER,0.0030456133169405107,1.0470159416065876,1.0,0.0,6,0.00021096423601270938,0.12628903778075173,80.29192900544797,131,65
BMU ID,marginal_bmu_id,I_IND-NTPL1_BID,NEMO,BID,0.0029101799965136144,-3.1417036497633224,0.0,1.0,2,0.00043569080329194877,0.12628903778075173,80.29192900544797,132,67
BMU ID,marginal_bmu_id,T_KILLPG-1_OFFER,CCGT,OFFER,0.0028470753697581574,1.6497313099366933,1.0,0.0,4,0.000258452232937655,0.12628903778075173,80.29192900544797,133,66
BMU ID,marginal_bmu_id,T_NURSB-1_BID,BATTERY,BID,0.0025065742540758993,-0.48353524392651764,0.0,1.0,9,0.00015305091612040326,0.12628903778075173,80.29192900544797,134,68
BMU ID,marginal_bmu_id,T_PEMB-31_OFFER,CCGT,OFFER,0.0023189491333967496,0.8436678462419033,1.0,0.0,3,0.00026038628302973304,0.12628903778075173,80.29192900544797,135,67
BMU ID,marginal_bmu_id,M_SLOY-4_OFFER,NPSHYD,OFFER,0.002300257796118479,1.1624150916592502,1.0,0.0,2,0.0002707851307573251,0.12628903778075173,80.29192900544797,136,68
BMU ID,marginal_bmu_id,T_PEMB-31_BID,CCGT,BID,0.00222186857691215,-0.222730240327646,0.0,1.0,18,0.00010158203707215615,0.12628903778075173,80.29192900544797,137,69
BMU ID,marginal_bmu_id,I_IBD-DSKC1_BID,BritNed,BID,0.0021346419448903765,,,,0,0.00059839040501265,0.12628903778075173,80.29192900544797,138,70
BMU ID,marginal_bmu_id,T_RATS-2_OFFER,COAL,OFFER,0.00181881333914914,1.0190327284035348,1.0,0.0,2,0.00021025421330829797,0.12628903778075173,80.29192900544797,139,69
BMU ID,marginal_bmu_id,2__NFLEX005_OFFER,LOAD RESPONSE,OFFER,0.0017581870542270612,0.8199433206427622,1.0,0.0,4,0.00018246746672201836,0.12628903778075173,80.29192900544797,140,70
BMU ID,marginal_bmu_id,2__GSTAT002_OFFER,BATTERY,OFFER,0.0016400560056925573,0.7450834210460678,1.0,0.0,3,0.00018068726859696933,0.12628903778075173,80.29192900544797,141,71
BMU ID,marginal_bmu_id,T_MRWD-1_BID,CCGT,BID,0.001618333919078463,-0.06997690262450179,0.0,1.0,43,4.510288985288401e-05,0.12628903778075173,80.29192900544797,142,71
BMU ID,marginal_bmu_id,T_WBURB-2_BID,CCGT,BID,0.0015984179797915179,-0.06468326954039297,0.0,1.0,43,4.0207836099254545e-05,0.12628903778075173,80.29192900544797,143,72
BMU ID,marginal_bmu_id,2__ASTAT005_BID,BATTERY,BID,0.0015567130159070137,-0.6530823365838069,0.0,1.0,4,0.0001276684605614975,0.12628903778075173,80.29192900544797,144,73
BMU ID,marginal_bmu_id,T_RATS-3_OFFER,COAL,OFFER,0.0015393635652992206,0.38988989012035796,1.0,0.0,9,0.00010228322117707238,0.12628903778075173,80.29192900544797,145,72
