side,replacement_marginal_bmu,replacement_marginal_technology,raw_battery_unit_periods,tie_adjusted_sp_equivalents,lead_party,years_present,distinct_settlement_periods,tie_adjusted_share_within_side,tie_adjusted_rank_within_side
bid,2__HANGE002,LOAD RESPONSE,32,29.0,Limejump Energy Limited,"2024, 2025",29,0.005947497949138638,51
bid,2__LANGE002,LOAD RESPONSE,33,29.0,Limejump Energy Limited,"2023, 2024, 2025",29,0.005947497949138638,52
bid,T_DAMC-1,CCGT,35,29.0,VPI Power Limited,"2023, 2024, 2025",29,0.005947497949138638,53
bid,T_DINO-4,PS,42,29.0,First Hydro Company,"2023, 2024, 2025",29,0.005947497949138638,54
bid,T_SHBA-2,CCGT,31,29.0,EP UK INVESTMENTS LIMITED,"2023, 2024, 2025",29,0.005947497949138638,55
bid,T_DRAXX-3,BIOMASS,31,28.0,Drax Power Ltd,"2023, 2024, 2025",28,0.005742411812961444,56
bid,2__ESTAT002,GAS,32,27.75,Statkraft Markets Gmbh,"2023, 2024, 2025",29,0.005691140278917145,57
bid,2__GSTAT013,GAS,30,26.0,Statkraft Markets Gmbh,2025,26,0.005332239540607055,58
bid,2__LFLEX001,LOAD RESPONSE,32,26.0,Flexitricity Limited,"2024, 2025",26,0.005332239540607055,59
bid,M_CAS-CLU01,NPSHYD,29,26.0,SSE Generation Ltd,"2024, 2025",26,0.005332239540607055,60
bid,T_KILLPG-1,CCGT,36,26.0,Uniper UK Limited,"2023, 2024, 2025",26,0.005332239540607055,61
bid,T_SPLN-1,CCGT,30,26.0,Spalding Energy Company Ltd,"2023, 2024, 2025",26,0.005332239540607055,62
bid,T_CRUA-3,PS,26,24.0,Drax Pumped Storage Limited,"2023, 2024, 2025",24,0.004922067268252666,63
bid,2__DUKPR001,OCGT,27,23.5,UK Power Reserve Limited,"2024, 2025",24,0.004819524200164069,64
bid,2__NHPOW002,NPSHYD,25,23.0,Drax Energy Solutions Limited,"2024, 2025",23,0.0047169811320754715,65
bid,E_ALCOA-1,DIESEL,23,23.0,Conrad Energy (Trading) Ltd,"2024, 2025",23,0.0047169811320754715,66
bid,2__GSMAE003,CCGT,28,22.333333333333332,Smartestenergy Limited,"2024, 2025",23,0.004580257041290675,67
bid,2__PMARB001,NPSHYD,25,22.0,Marble Power Limited,"2023, 2024, 2025",22,0.004511894995898278,68
bid,T_CUMHW-1,WIND,24,22.0,Uniper UK Limited,"2024, 2025",22,0.004511894995898278,69
bid,T_EECL-1,CCGT,25,22.0,Uniper UK Limited,"2023, 2024, 2025",22,0.004511894995898278,70
bid,2__NHPOW001,NPSHYD,35,21.84047619047619,Drax Energy Solutions Limited,"2023, 2024, 2025",24,0.004479178874174772,71
bid,M_SLOY-1,NPSHYD,25,21.0,SSE Generation Ltd,"2024, 2025",21,0.004306808859721083,72
bid,T_DINO-2,PS,25,20.5,First Hydro Company,"2023, 2024, 2025",21,0.004204265791632486,73
bid,E_ABERDARE,OCGT,29,20.416666666666668,UK Power Reserve Limited,"2024, 2025",21,0.004187175280284386,74
bid,T_SGRWO-2,WIND,27,20.0,Seagreen Wind Energy Limited,"2023, 2024, 2025",20,0.004101722723543888,75
bid,T_BRCHS-1,SOLAR,23,19.0,Burwell 11 Solar Ltd,2025,19,0.003896636587366694,76
bid,T_BROCW-1,WIND,29,19.0,Smartestenergy Limited,2025,19,0.003896636587366694,77
bid,T_BURWS-1,SOLAR,22,19.0,EDF Energy Customers Limited,"2024, 2025",19,0.003896636587366694,78
bid,T_CDCL-1,CCGT,25,19.0,Uniper UK Limited,"2023, 2024, 2025",19,0.003896636587366694,79
bid,T_RATS-3,COAL,22,18.5,Uniper UK Limited,"2023, 2024",19,0.0037940935192780968,80
bid,T_CNQPS-4,CCGT,18,18.0,Uniper UK Limited,"2023, 2024, 2025",18,0.0036915504511894994,81
bid,T_CRUA-2,PS,21,18.0,Drax Pumped Storage Limited,"2024, 2025",18,0.0036915504511894994,82
bid,T_KILLPG-2,CCGT,23,17.0,Uniper UK Limited,"2023, 2024, 2025",17,0.003486464315012305,83
bid,2__HANGE001,LOAD RESPONSE,16,16.0,Limejump Energy Limited,2025,16,0.003281378178835111,84
bid,T_AKGLW-3,WIND,17,16.0,AIK2A Sustainable Energy Ltd,"2024, 2025",16,0.003281378178835111,85
bid,T_HALSW-1,WIND,18,16.0,SP Renewables (UK) Limited,"2024, 2025",16,0.003281378178835111,86
bid,T_PEMB-51,CCGT,18,16.0,RWE Generation UK plc,"2023, 2024, 2025",16,0.003281378178835111,87
bid,T_PEMB-21,CCGT,16,15.0,RWE Generation UK plc,"2023, 2024, 2025",15,0.0030762920426579163,88
bid,T_PEMB-31,CCGT,16,15.0,RWE Generation UK plc,"2023, 2024, 2025",15,0.0030762920426579163,89
